sent,Given_label,Predicted_label
I wanna add a reminder to play football,play football,add a
Hi today at 1pm please remind me about NMIMS,NMIMS,me about NMIMS
Can set a reminder for me tomorrow at 8 am,Not Found,set a
Reminder for Facebook,Facebook,for Facebook
9am,Not Found,Not Found
thnks anjalii i already make my plan,make my plan,make my plan
Can i get a call along with message ?,Not Found,get a call
Remind me to Purchase diary on 2nd January 2017 at 8:30 pm,Purchase diary,Purchase diary
Remind to enter cheque details after 30 mins,enter cheque details,enter cheque details
I want you to set a monthly reminder..,Not Found,set a monthly reminder..
Hi reminder on 3 december at 11 am to deposit rent money in account,deposit rent money in account,deposit rent money
Hi can you reschudle this reminder on an interval of 2 hours,Not Found,on an interval
Wednesday call harshita by 10 am,call harshita,call harshita
I need reminder from 10 am to 10 pm,Not Found,Not Found
Have u set 2 reminders?,Have u set 2 reminders,Not Found
Thnku fr remind me,Not Found,Thnku fr
Thank you Shraddha. Can you schedule this reminder to repeat every day from Monday to Friday?,repeat,repeat every day
Pls give me reminder at 2pm on 3/Jan,Not Found,Not Found
Call me multiple please if possible ?,Not Found,Call me multiple please
Remind me to meet motilal oswal tommorow at 1 pm,meet motilal oswal,meet motilal oswal tommorow
All set?,Not Found,Not Found
Thanks for reminding :),),Not Found
Remind me After 20 mins,Not Found,Not Found
By wht way u wil remind me?,Not Found,By wht way
If i missed once then please call me again,Not Found,If i
Reminder me to study workshop at 9 pm today,study workshop,study workshop
And what about bday,bday,about bday
Remind me to go to sleep by 9.30,go to sleep,Not Found
One birthday remainder,Not Found,birthday remainder
Meet doctor today for diva,Meet doctor,Meet doctor
I remembered though,Not Found,Not Found
But start this alarm next week,Not Found,start this alarm
Remind me to check my game status every hour,check my game status,check my game status
Remind me tomorrow for Social Trade 10th Nov Work,Social Trade 10th,for Social Trade
Remind me to deposit axis bank cheque on 08.11.16,deposit axis bank cheque,deposit axis bank cheque
remind me this word athelin x,Not Found,me this word
"Remind me to buy pens, meet ma'am and message MEMS sir","buy pens, meet ma'am and message MEMS sir",message MEMS sir
Remind me for passport renewal on 5th January,Remind me for passport renewal,me for passport renewal
Remind me LLB form law college,LLB form law college,me LLB form law college
Set an alarm today at 12 am,Not Found,an alarm
Remind me on Friday 10pm about it,Not Found,me on
Please give me an alert at 4:18 in evening..today....,give me an alert,give me an alert
Can u remind mee,Not Found,Not Found
"Ya...in the reminder,remind me about mail",mail,me about mail
How will u remind,How,Not Found
Can u remind me to sleep,sleep,Not Found
I want to set alarm for for whole month,Not Found,for whole month
"Okay then remind me on THIS sunday.,",Not Found,me on THIS sunday.
Remind me to download my ncert admit card n upload sissy 's photo,download my ncert admit card n upload sissy 's photo,download my ncert admit card n
Remind me for doctor swapnil patil at 9:30 pm,doctor swapnil patil,me for doctor swapnil patil
Please remind me everyday,Not Found,Not Found
remainder,Not Found,Not Found
Remind me to take a booster injection,take a booster injection,take a booster injection
When did I tell u ppl to start my reminders from 2 am,start my reminders,tell u ppl
Remind kr na kl 8 bje form,Not Found,kr na kl
Clear all reminder,Not Found,Not Found
"Meeting Reminder Date: November 11, 2016 Time: 11 15 am Meeting with: Take entry card Venue: Voda",Take entry card Venue: Voda,Take entry card Venue
New reminder,Not Found,Not Found
Santoshi kumari 02/01/1985,Not Found,Not Found
I m receiving calls now,Not Found,receiving calls
Remind me to make a birthday video for Priyanshi,make a birthday video for Priyanshi,make a birthday video
Could you remind me to buy grocery after 2 hours?,buy grocery,buy grocery
Please remind me to return the book,return the book,return the book
I need reminder on 29/11/2016 at 11:00 am,Not Found,Not Found
Already called thanks:),Not Found,called thanks
"Okay, let's set it at 4.30",Not Found,Not Found
BTW how will u guys remind me,Not Found,u guys
What u vil remind me bu5,Not Found,u vil
Can u remind me today at 3 pm about Jabong gas salw,Jabong gas salw,about Jabong gas salw
11.55 PM on 8th Feb,Not Found,Not Found
Can you make a schedule for me for the meals n ol,the meals n ol,me for the meals
Schedule my meeting on 8 th of December 2016,meeting,my meeting
Plz remind me to submit degree form,submit degree form,submit degree form
Reminder for wht,wht,for wht
Remind me to apply for cms exam on 24th april at 7 am,apply for cms exam,apply for cms exam
Set a reminder at 8:40 PM today,Not Found,Set a
Set me a reminder on lic payment today at 11 am,on lic payment,on lic payment
Hey remind me everyday to go for meditation at 3.50 pm,go for meditation,go for meditation
Remind me to go to gym tomorrow,go to gym,Not Found
Pls set this reminder again for 12.10 pm today,Not Found,set this
"29-12-16 at 10.35am, 11.20am, 12.30pm (3 Reminders) ""Make AS remind for KLA's Pipes & Structurals"" ------------------------------------------------------- 28-12-16 at 8.35pm, 8.50pm (2 Reminders) ""Make AS remind for KLA's Pipes"" -------------------------------------------------------",Not Found,Make AS
About sim card aircel 8:00 am tommarow,sim card aircel,About sim card aircel
Calling after magrib to javed msc,javed msc,Calling after magrib
Remind me after 50 mins today,Not Found,Not Found
Please remind me to clean up the BAG,clean up the BAG,the BAG
I want to schedule for everyday,Not Found,schedule for everyday
Remind me to send an email on Thursday,send an email,send an email
Ok good but are you dure i will get a call all the time,get a call all the time,get a call
Reminder plz,Not Found,Not Found
You were supposed to call right,call right,Not Found
Can you set a todo ?,Not Found,set a todo
Remind me to send calendar invite to anish,send calendar invite to anish,send calendar invite
Remind me in every 2 hrs,Not Found,Not Found
One more reminder at 5.15am,Not Found,Not Found
Every 15 minutes u should call..,call..,Not Found
But that reminder was set at 11am,Not Found,Not Found
Pls remind me half an hour in advance,Not Found,an hour
Read my message again. It has multiple times for alarm,multiple times for alarm,Read my message
AC reminder 10 am,Not Found,Not Found
Remind me after 5 minutes that i have to study,study,that i
Hey remind me after 56days,Not Found,Not Found
Please set me a reminder.,Not Found,set me a
"Remind me ""be oraganised and systematic"" today at 8pm",be oraganised and systematic,Not Found
Set one for 7 am also,Not Found,Not Found
Thank you,Not Found,Not Found
Remind Ashwin at 10.00 pm,Not Found,Not Found
Make a schedule for tasks i have to do today,Not Found,Make a schedule
Remind me on 05/12/2016 at 9.00 pm that tomorrow I will do lunch at Office...,I will do lunch,do lunch
Remind me to carry a mehandi tube along at 7pm today,carry a mehandi tube along,carry a mehandi tube
Remind me to take case history of perio at 2 pm,take case history of perio,take case history
Ohhhhh ! Thanks for the reminder Vanisha,Not Found,for the Vanisha
To remind,Not Found,Not Found
Please set daily reminder,Not Found,set daily
U should just call me,call me,Not Found
Remind me to give money to my senior on 01-01-2017,give money to my senior,give money
can i also set reminder. .... to take a walk every 30 mins,take a walk,take a walk
An morning alarm,Not Found,An morning alarm
Remind me to register benifiary on 23 12pm,register benifiary,Not Found
Set shedule for my 6 hrs study,my 6 hrs study,Set shedule
Hey will you plz remind me on today at 4.30,Not Found,me on
Can you remind me everyday for exam preparation?,exam preparation,for exam preparation
How you will remind? By sending notifications?,How you will remind and By sending notifications,sending notifications
I need one more reminder,Not Found,Not Found
Please deactivate the reminder for today's grocery purchase,Not Found,deactivate the
Thanks for the reminders....but I went offline :-),-),for the reminders
Set a alarm,Not Found,Set a alarm
Are only the rescent reminder..?,Not Found,only the rescent reminder..
Remind me tomorrow at 8 pm for Dil hai Hindustani at star plus,Dil hai Hindustani at star plus,for Dil hai Hindustani
Do I have to stay online to get your reminders?,stay online to get your reminders,get your reminders
Remind me 10 min later to sleeping,sleeping,Not Found
Just reminded me tomorrow to fins gym.,fins gym,reminded me
Reminder for 19th January 8:15 PM Thursday for dinner ready,dinner ready,for dinner
Set after every 4 hour,Not Found,Not Found
6 clock in morning remind me today,Not Found,in morning
Set me a reminders,Not Found,me a reminders
Remind to pay my vodafone bill by 10 pm today.,pay my vodafone bill,pay my vodafone bill
Remind me on the 24 that we arebhqve christmasa,we arebhqve christmasa,arebhqve christmasa
Did you know about dragon ball super?,dragon ball super,know about dragon ball super
I need a daily reminder,Not Found,need a daily
Remaind me as to do some important work@ 7am today,do some important work,do some important work
Tomorrow morning also remind me to recharge my np,recharge my np,recharge my np
Daily remind me to go to sleep at 11 P.m,go to sleep,Not Found
I have a meeting at 10.30 am day after 23.12.2016. Pls remind me,meeting,have a meeting
"Remind me to check with my bank for my loans, phone and to collect the car documents",check with my bank for my loans and phone and collect the car documents,collect the car documents
"Hi, set me reminder at 10pm Tonight.",Not Found,Not Found
Set me a reminder to recharge my mobile,recharge my mobile,recharge my mobile
Who told u to set up alarm today,set up alarm,Not Found
Please set reminder,Not Found,Not Found
Sir kindly remind me for calling of Flamingo Pt r Regarding Sumit job on Sunday since 1pm,calling of Flamingo Pt r Regarding Sumit job,calling of Flamingo Pt r
remind me at today 3 oclock,Not Found,me at
Set me a remainder,Not Found,me a remainder
The call will be automated?,Not Found,The call
I want to add a reminder,add a reminder,add a
Till such time situTion becomes normal how to get cash for small purchases,get cash for small purchases,such time situTion
Pff this reminder,Not Found,Not Found
Please remind me at 8pm that I need to reach delhi airport by 9:45 pm on 22nd this month,I need to reach delhi airport,reach delhi airport
Ok so Set me A Reminder To message Mokshada At 9:00,message Mokshada,so Set
I need to wish prince 2maroo remind me,wish prince 2maroo remind me,wish prince
Can u say 4 2=,Not Found,Not Found
I want more reminders,Not Found,want more reminders
Today 18 34 remind me,Not Found,Not Found
Can you please make a ring tone of the reminder,Not Found,ring tone
Tell me my schedule,Not Found,my schedule
Also for 6th Jan put a reminder to meet the physio therapist,meet the physio therapist,meet the physio therapist
Plz give above reminder tmrw,Not Found,give above tmrw
Set a reminder pls,Not Found,Set a pls
Remind me to buy eggs today at 5:28,buy eggs,buy eggs
After 1 hour remind me for birthday wish,birthday wish,me for birthday wish
and put more remainder at 4:35am also,Not Found,put more remainder
Please remind me tomrw,Not Found,Not Found
Can u please remind me today evening i have to meet pf agent at 6 pm,meet pf agent,meet pf agent
Remind me at 4 pm today for transferring rent and maintenance,transferring rent and maintenance,transferring rent
Remind me to come online,come online,come online
What was the reminder again?,Not Found,was the
Wanna do one more reminder,Not Found,Not Found
remind me to take change,take change,take change
Make dat reminder gap fr 2 hr,gap fr 2 hr,Make dat gap
thanks for remainder,Not Found,for remainder
Can you please explain me about dnd,dnd,explain me about dnd
Please remind me to cal Thomas tomorrow at 6.00pm,cal Thomas,cal Thomas
Reminder after 5min,Not Found,Not Found
Can u plz set a reminder to take medecine before lunch....,take medecine before lunch....,u plz
13.3,Not Found,Not Found
Remind me to watch sathya darshan at 9 pm today,watch sathya darshan,watch sathya darshan
Remind me of teeth clip and dress at 2 pm today,teeth clip and dress,me of teeth clip
Hmm thaks for reminder,Not Found,Hmm thaks
Today's reminder at 8. Prepare a report.,Prepare a report,Prepare a report
I need to change the reminder,change the reminder,change the
hi can i setup a daily reminder,Not Found,setup a daily
Marriage remind,Not Found,Not Found
"Thanks, can u remind me this daily for next one month",Not Found,Not Found
I want to set reminder at 9 oclock to put snacks and sweets into bag,put snacks and sweets into bag,put snacks
I want to set a alarm,Not Found,set a alarm
Plz remind Monday meeting with Goenka & Tuesday meeting with sports ministry,meeting with sports ministry,with sports ministry
Please remind me every Thursday at 1:40pm for meeting with Avdhut Nandikar,meeting with Avdhut Nandikar,meeting with Avdhut Nandikar
Remind me every year,Not Found,me every year
Remind P forStackhead follow up for October and November Renewals. List of Dec Renewals will be sent by Accenture to us.,follow up and Dec Renewals will be sent by Accenture to us,of Dec Renewals
Reminder of BiRtHdAy of my friend on 2nd January,BiRtHdAy of my friend,of BiRtHdAy
Please reject my reminder,Not Found,reject my
Can you repeat the reminder for every day,Not Found,for every day
"remind me to buy royal canine tomorrow., at 6pm",buy royal canine,buy royal canine tomorrow.
I want to learn fluet,learn fluet,learn fluet
I m nt getting any reminder even if I have kept it,kept it,getting any
Pls remind me about esugam,esugam,me about esugam
Remind me to do rtgs for cement on 5th December morning 9:30 am,do rtgs for cement,rtgs for cement
How are you going to remind me about this?,Not Found,Not Found
Will u remind me abt talking 2 mom abt braided material @ 8.00 pm 2 day,abt talking 2 mom abt braided material,braided material @
Thank you.. Will request again if it's need to be a daily reminder,Thank you.. Will request,Thank you.. Will
I want a daily remainder at the said time,Not Found,want a daily remainder
Gm...,Not Found,Not Found
Also remind me to drink tea at 7:15,drink tea,drink tea
I wanna to get my box plz remember me okay,get my box,get my box plz
In fact I tell a lot of people about it,lot of people about it,tell a lot
Testing one reminder,Testing,Not Found
Remind me to oil my hair every once a week,oil my hair,once a week
okes thnk u for reminding me,reminding me,Not Found
Pls share me a happy birthday cake photo,happy birthday cake photo,me a happy birthday
Remind me to take stuff,take stuff,take stuff
Can you make a reminder for tution,Not Found,make a
Can you call every 30 minutes?,Not Found,Not Found
Remind me tomorrow for leave at 10 am,leave,for leave
Yes Deepika remind me everyday,Not Found,Not Found
"Hi Neha, this is your scheduled to-do list reminder. Have a nice day ahead! TASK - Functional Analysis Books",Have a nice day ahead! TASK - Functional Analysis Books,is your scheduled to-do list
OK set it for me,Not Found,Not Found
"Next week 30th Dec Friday, pallu birthday, can you plzzzzz remind me in morning at 6am",Not Found,me in morning
Remind me to take a photograph and brief intro at the same time,take a photograph and brief intro,at the same time
Can you set a reminder for shopping,Not Found,set a
Hi shreyansh need to call up Mr chaitanya on Monday 14th,call up Mr chaitanya,Mr chaitanya
thanks for remind me,Not Found,Not Found
Can you remind me to study every 15 min,study,Not Found
Reminde me to lunch,lunch,Not Found
Actually I want you to remind me daily at 5pm..so that I can work on it.,Not Found,Not Found
Well will you remind me that I have a romantic date tomorrow evening.i am so busy in work,Not Found,have a romantic date
Make the reminder of 3 hours,Not Found,Make the
Can you please remind me to book train tickets,book train tickets,book train tickets
Can u set a daily reminder for me,Not Found,set a daily
Yes remind me every day,Not Found,me every day
Then any thing interest about this app,any thing interest about this app,Then any thing interest
Remind me at 10:30 to pick clothes from Boutique,pick clothes from Boutique,pick clothes
Remind me to buy new clothes on coming Monday at 2 pm,buy new clothes on coming,buy new clothes
Remind me to apply for the leave,apply for the leave,apply for the leave
I have to schedule one more reminder for tomorrow,Not Found,Not Found
N again remind me to cal daddy tomorrow,cal daddy,cal daddy
Set reminder for driving test on 31 dec 9 am,driving test on 31 dec,driving test
When u will call me then tell me about institute fees ok,institute fees ok,tell me about institute fees
change medic reminder to 11.30 am everyday please,change medic,everyday please
I know about ravidas park lanka Varanasi is this couple park?,ravidas park lanka Varanasi and this couple park,is this couple park
Thanks for d reminders Arijit!,d reminders,for d reminders
Thank u for ur reminder,Not Found,Thank u
Thanks khushboo,Not Found,Not Found
Remind me at 8:30am tomorrow to make a copy of dads house key,make a copy of dads house key,of dads house key
Hi alarm for today 12.50pm,Not Found,Hi alarm
Remind me after 20 min,Not Found,Not Found
Hey please remind me to go out at 3:30 pm,go out,Hey please
set it for daily,Not Found,Not Found
I keep forgetting the things so I need reminders badly and is this service available outside India too I keep travelling,I keep forgetting the things and this service available outside India too I keep travelling,forgetting the things
Can all reminders,Not Found,all reminders
Remind to message Yuthika The Hindu,message Yuthika The Hindu,The Hindu
Set reminder to send fitness motivation pics,send fitness motivation pics,send fitness motivation pics
Remind me to do some personal work at 11 55 am today,do some personal work,do some personal work
Pls set a reminder on Monday to pay Airtel bill on monday,Not Found,pay Airtel bill
You should remind me at 11:59 p.m. on 28th of November i.e. Monday night,Not Found,of November i.e
Seriously?,Not Found,Not Found
Can you remind me again in half an hour?,Not Found,an hour
Also remind me in night,Not Found,me in night
Can you extend my medical remainders for more 5 days,Not Found,extend my medical remainders
Yup and set one more reminder at 3.30 am,Not Found,Not Found
Thanks for the reminder. I have got it. But just a small error in the name... it's repace 50.,But just a small error,just a small error
Yes u can remind me around 11 am 2pm 4pm 6pm 8 30pm and 10 30pm,Not Found,Not Found
Please make it two alarm,Not Found,Not Found
What about medical shops Wil they accept it tomorrow the old notes of 1000 and 500,What about medical shops Wil they accept it tomorrow the old notes,about medical shops
I need a reminder for my jogging and workout shedule,my jogging and workout shedule,need a
Thnku for reminding,Not Found,Not Found
Cancle this reminder,Not Found,Not Found
It would be a great help buddy,be a great help buddy,be a great help
Remind me to close my internet at 10:15,close my internet,close my internet
Call me 3 times,Not Found,Not Found
Pls change time of second reminder,Not Found,Pls change time
Remind me to take a print out at 5:30,take a print out,take a print
And also remind me that I kept my earphones in my pocket of pyjama lolz,I kept my earphones,kept my earphones
Can you call me on another number,another number,call me on another number
And remind me at 11 that w stuff is in cupboard behind cloths,w stuff and cupboard behind cloths,is in cupboard
What is the reminder for??,What,is the
How many time can u call at 6am,Not Found,many time
Remind me to fill my bottle in half an hour,fill my bottle,fill my bottle
2 bar call krna,Not Found,bar call krna
Remind me to finish reading theory in 30 mins,finish reading theory,reading theory
Remind me to download syllabus for software engineer - TE On Saturday @1030,download syllabus for software engineer - TE,download syllabus
Mr. Sachin can you remind me to purchase some material from Market,purchase some material from Market,purchase some material
Hey remind me to have healthy lunch at 12:15 pm every day,have healthy lunch,have healthy lunch
Could you set a reminder for me to take a print out and to carry it in a bigger envelope to a meeting?,take a print out and carry it in a bigger envelope to a meeting,carry it in a bigger envelope
Remind to have brkfsst,have brkfsst,have brkfsst
Remind me to give Debit card to Preeanka.,give Debit card to Preeanka,give Debit card
Remind me on every Saturday that next day is sunday,Not Found,me on every
Can you remind by a message?,Not Found,by a message
Can u plz send me the reminder,Not Found,send me the
Can i get the details about the new years party,Not Found,about the new years party
"Wish Birthday Name: Soumya Date: December 9, 2016 Time: 9 00 AM",Not Found,Wish Birthday Name
Can u set this all week,Not Found,all week
Have you any idea about managing facebook pages,managing facebook pages,Have you any idea
Please schedule it to 8:30 instead of 8:45,Not Found,Please schedule
You dint remind me at 10:15,Not Found,Not Found
Please remind me Tuesday 5 pm to collect drivers licence,collect drivers licence,collect drivers
But try to call me more than sending notifications,call me more than sending notifications,sending notifications
Thank you for all the reminders.,Thank you for all the reminders,the reminders
What happened to my alarms?,What happened to my alarms,my alarms
But remind me from 8am - 11pm,Not Found,Not Found
If any reminder than I will tell you,Not Found,If any
Ya sure omkar ....thanks,Not Found,Ya sure omkar
Need a reminder at 1700h today,Not Found,Need a
Remind me birthday also on 23rd nov 12 am vikramaditya,Not Found,me birthday
Yes pls,Not Found,Not Found
You have been a good reminder till now,Not Found,been a good till
Remind me to book a ticket at 10:30 am tomorrow,book a ticket,a ticket
Remind me to speak with Meghna for payment.,speak with Meghna for payment,speak with Meghna
Why i need information about services in chennai,services in chennai,need information
Plz remind me the above matter again by 11:45 plZ,above matter again,me the above matter
Also call at 10 tomorrow,Not Found,Also call
Hey can u remind me for payment of beyant,payment of beyant,me for payment
Can you please set an reminder for 29 Jan.. Morning 11 am,Not Found,set an
Remind me to courier samples to punjab,courier samples to punjab,courier samples
Kindly reminder me to send my son to kung Fu classes at 5 in the morning alternate days,send my son to kung Fu classes,in the morning alternate days
Need to call my friend who wants to pay mr,pay mr,call my friend
haptic is still calling and messaging me. i had stopped it.,haptic and still calling and messaging me and stopped it,Not Found
Can you please set the alarm for me at 4 am in the morning...,Not Found,set the alarm
I want u to set this reminder for every Wednesday and Sunday,Not Found,set this
One more alarm on the same date,Not Found,on the same date
good morning..,Not Found,good morning..
Remind me on 15 jan at 11:30 pm,Not Found,Not Found
Plz remind me to take Haar for kirtan at 5pm,take Haar for kirtan,take Haar
Please set reimbursement reminder for 12pm 16th November,Not Found,set reimbursement
Hi neha,Not Found,Hi neha
Remind me to Collect ID card from college,Collect ID card from college,Collect ID card
"You're all set! I'll make sure you're up at 8:39 AM, 8:45 AM, 8:50 AM, 9:00 AM, 9:15 AM and 9:23 AM on Fri, 02 December!",Not Found,'re all set
Can you close this reminder?,Not Found,close this
Remind me to check reliance results on 16th Jan at 9am,check reliance results,check reliance results
Remind me at 7 pm for going a party,going a party,going a party
Remind me to message Malaika at 12pm,message Malaika,message Malaika
Remind me for documents too,documents too,me for documents
This above scheduled is done please mark it,done please mark it,done please mark
Tuesday I have an important experiment,I have an important experiment,have an important experiment
Remainder for 2 pm today for project charter preparation,project charter preparation,for project charter preparation
MUJE 8 BAJE PHON KARNA HE.,BAJE PHON KARNA HE,BAJE PHON KARNA HE
Yes I want to set reminder for 17 Nov 7AM and 16 Dec at 7AM,Not Found,Not Found
Remind me to Dr Reddy quote,Dr Reddy quote,Dr Reddy quote
But how about how much to drink,drink,Not Found
"Right, I want you to remind me to order a Bday cake",order a Bday cake,a Bday cake
I want this reminder daly,Not Found,want this daly
For reminder we will have to online always,we will have to online always,Not Found
Remind me at 6:30,Not Found,Not Found
Remind me on 14 jan to tell hostel incharge that i have to leave hostel,tell hostel incharge that i have to leave hostel,tell hostel incharge
U have set it for the morning as well as for the night ??,Not Found,set it for the morning
Call appa at 8 am,Call appa,Call appa
Change timing of reminder,Not Found,Change timing
Thank you for remembering me,remembering me,Not Found
Remind me to check Crown it at 3 pm,check Crown it,check Crown
Okay... Thank you so much for reminding me... I'll try it another time.,Thank you so much for reminding me... I'll try it another time,try it another time
Got a vibration only for this reminder .. I want a loud tone .. how to set that,Got a vibration only and I want a loud tone,only for this ..
Remind me to buy mobile,buy mobile,Not Found
U will call only the registered number?,U will call only the registered number,call only the registered number
Could u plz set reminder for Monday dated 21 November 2016 to release salary of Nitin inkar,release salary of Nitin inkar,of Nitin inkar
Remind me to book train ticket at 9 45 am today,book train ticket,book train ticket
Please remove my alarms,Not Found,remove my alarms
I would like to add some reminders,some reminders,add some reminders
"Please remind me tomorrow to reply to Sharad seksaria email, discuss on Ritesh Jain email and finish Goradia presentation","reply to Sharad seksaria email, discuss on Ritesh Jain email and finish Goradia presentation",on Ritesh Jain email
Remind me tomorrow to fill the nomination form,fill the nomination form,fill the nomination form
Plz remind me to go to hospital @4pm today,go to hospital,Not Found
I need two reminders please,Not Found,Not Found
Set up to do list,Not Found,do list
"Samreen, what's your salary for this post? Sorry if it's confidential, just asking coz I heard lot about this start up",what's your salary for this post and coz I heard lot about this start up,for this post
Remind me to mail pragya Nsdc tp SPOC and centre SPOC,mail pragya Nsdc tp SPOC and centre SPOC,mail pragya Nsdc tp SPOC
Will u remember that date,date,remember that date
How r u going to make me remind?,Not Found,Not Found
7.50am reminder for tomm,Not Found,for tomm
Okay set a reminder after 15 minutes,Not Found,set a
Remind me to go to the 🏧 AT 5P.M. today,Not Found,the 🏧 AT
Remind me to go to market everyday at 9 am and 7 pm,go to market,market everyday
Can you remind me tomorrow at 11 am to download the movie zindgi na milegi dobara?,download the movie zindgi na milegi dobara,download the movie zindgi
Remind me to do programming at 2:00pm today,do programming,Not Found
Remind me to purchase scissors,purchase scissors,purchase scissors
Yup I'm interested in set to do stuff,do stuff,in set
Remind me today prateek birtday,Not Found,prateek birtday
remind me Abys birthdayyy on 12am,Abys birthdayyy,me Abys birthdayyy
Can you please set this schedule for whole week,Not Found,set this schedule
Remind me at 1 in afternoon tomorrow that that I have to take my team for lunch,take my team for lunch,take my team
Kindly remind me every 3 hours,Not Found,Not Found
And plz remind that daily..,Not Found,that daily..
Remind me to close the gas stove,close the gas stove,close the gas stove
Remind me at 4 to travel to mylapore,travel to mylapore,Not Found
Dude u have to remind me at 9.45pm,remind me,Dude u
Is this a paid calling service or what,this a paid calling service or what,calling service
Jan 7,Not Found,Not Found
Remind me after 15 minute at 8.15 ok,Not Found,Not Found
Pl remind me to get a printout at 7pm today,get a printout,get a printout
Opps..sorry..it will set fo today...on 9th..,it will set fo today...on 9th..,set fo
Okz.. Is there any charge involved for reminder?,Okz.. Is there any charge involved,Is there any charge
Remind me to follow up vitamin D3 project proposal from Gil on Sunday 27th November 2016 at 1.00 pm,follow up vitamin D3 project proposal,vitamin D3 project proposal
Hey it's nt for am scheduled for pm,Not Found,scheduled for
"remind me for tea at 4 pm, today",tea,me for tea
Remind me 18.30 tomo i have online class,online class,tomo i
Sorry mam please delete that birthday reminder i made a misstake in date,birthday reminder i made a misstake,delete that birthday
Can u set alarm for another person,another person,for another person
How to check reminder list,Not Found,check list
Yr mera koi alarm hai kya?,Yr mera koi alarm hai kya,Yr mera koi alarm hai kya
Remind me to take my tablets at 10:30pm please,take my tablets,take my tablets
Can you SMS me on a different number as a reminder,Not Found,SMS me on a different number
Remind me to buy eggs at 5:28 pm today,buy eggs,buy eggs
Set the alarm for 2:45 am,Not Found,the alarm
Remind me to prepare sop on Sunday,prepare sop,prepare sop
Submit pto form tonight 10. 45 pm reminder,Not Found,pto form
Remind me to write blog,write blog,write blog
Reminder me after every one hour,Not Found,Not Found
Thanks priyanka for the reminder,Not Found,priyanka for the
Good morning anjali. Please remind me at 2 p.m to talk with satyapaul,talk with satyapaul,Good morning anjali
Can you set one more alarm,Not Found,more alarm
Can you remind me daily till 10th of dec at 9 pm to pick up food,pick up food,of dec
can you set a reminder for me,Not Found,set a
Can u arrange a daily mrng reminder for feeding birds,Not Found,arrange a daily mrng
any reminder for me,Not Found,Not Found
9880760104,Not Found,Not Found
"Wish Birthday Name: Mili Date: November 14, 2016 Time: 1 00 am",Not Found,Wish Birthday Name
Can u remind me at 5 pm today,Not Found,Not Found
I want a reminder for my trip to some where on the 24th of Dec 2016,my trip to some where,want a
Hey there! Set up a reminder of The UK University Fair for November 16,Not Found,of The UK University Fair
Akash would you be calling on the app or to my mobile,calling on the app or to my mobile,calling on the app
remind me every alternate day to take weight,take weight,me every alternate day
Well is there a reminder that can remind me to sleep!,Well and sleep!,Not Found
Reminder tomorrow at 12 pm about hiring staff,hiring staff,hiring staff
Thank you These remainders are really helping me to stay hydrated,stay hydrated,you These remainders
Can you call me 2 or 3 times,Not Found,Not Found
I need one more reminder for exam prepration,exam prepration,for exam prepration
What about before 10 am and after 8 pm,What about,Not Found
Plz change my alarm from 6:50PM to 8:00 PM,Not Found,Plz change
How to reminder year by year,Not Found,by year
Remind me to take 3600 by tomorrow morning 8 am,take 3600,by morning
Tell me how to edit my reminders,how to edit my reminders,edit my reminders
Remind me about pool at 18:30,pool,me about pool
Hey thanks for reminder,Not Found,Hey thanks
"Hey plz remind me bring toothpaste,all out,mouthwash,soap from shop","bring toothpaste,all out,mouthwash,soap",me bring toothpaste
I need u to remind me after each 45 mins,Not Found,Not Found
Can you remind me after 30 minutes,Not Found,Not Found
Remind the same on everyday,Not Found,on everyday
How can I set everyday reminders?,Not Found,set everyday reminders
Hi please set a reminder for 10th decomber,10th decomber,Hi please
Need a reminder on November 12th Saturday to go to office as it is a compensatory working day,go to office as it is a compensatory working day,is a compensatory working day
You should thank me for that^,Not Found,thank me for that^
Remind me tomorrow at 9:45am to book grass,book grass,book grass
Hey Vanisha I need a plumber here.,Hey Vanisha I need a plumber here,need a plumber
Remind me for shopping in Kaveri emporium to day evening 7,Not Found,shopping in Kaveri emporium
scheduled every Friday,Not Found,scheduled every
Remind me to change group name on 19 November,change group name,change group name
Why arent you calling me,calling me,Not Found
Call me 2 times because I m a lazy person,Not Found,m a lazy person
Done.thanks. Same again remind me at 6 pm,Done.thanks. Same again remind me,Not Found
Make it a 1hour remainder,Not Found,Not Found
"Hi rohini, thanks for the reminder!",Not Found,Hi rohini
Set a reminder for to do lists,do lists,Set a
Can you remind me with a message every hour,Not Found,me with a message
"If you can see my previous chat. I had asked for a reminder at 12pm, I received at 2:10pm ??",asked for a reminder,see my previous chat
Remind me that world is going to end,world is going to end,me that world
Please remind me to recharge my cell today at 4pm,recharge my cell,recharge my cell
Remind me to study at 2 PM today,study,Not Found
At 9pm plz remind me to tell mom about carrybags,tell mom about carrybags,tell mom
Can you one tell me. All the alarms,All the alarms,the alarms
"I've just started following diet, in which i have to eat something every 2 hours Can u remind me of that??",eat something,following diet
Can you please remind me to discuss salary with Prem on Monday,discuss salary with Prem,with Prem
Have you set the reminder,Not Found,set the
Hey u guys r remainding me everytime,Not Found,u guys
Hey also set the reminder for 8 am to study,study,set the
2nd Reminder on 14 & 15 for the same,Not Found,Not Found
Please add a reminde aT 9am,a reminde,add a reminde aT
Wakeup alarm confirm?!,Wakeup,Wakeup alarm confirm
Remind me to purchase hair oil,purchase hair oil,purchase hair oil
